Brand,Product_description,price,discount_percentage,Link
Red Rose ,Sneakers For Men  (Blue),₹379,62% off,https://www.flipkart.com/red-rose-sneakers-men/p/itmfhp7pq4earagj?pid=SHOFHP3PW4UCG8NB&lid=LSTSHOFHP3PW4UCG8NBTDT7PE&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFHP3PW4UCG8NB.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Rockfield ,Sneakers For Men  (White),₹379,62% off,https://www.flipkart.com/rockfield-sneakers-men/p/itm2b9ef0a76236b?pid=SHOFVTURVVNXRCGD&lid=LSTSHOFVTURVVNXRCGD5PK34N&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFVTURVVNXRCGD.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Ducati ,Sneakers For Men  (Grey),"₹1,299",64% off,https://www.flipkart.com/ducati-sneakers-men/p/itm94303e5e2004f?pid=SHOFGNGHREUWAZDB&lid=LSTSHOFGNGHREUWAZDBQXHPHH&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_U5%2F4Ug3GlLfobhCKAKFijlaiqc0HKMwn%2FJADbVYAKLv6BMP1Ohb63GI1KuM3GIqYpoFT4JQ%2FC6d6ls1JMB0lAQ%3D%3D&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
ASTEROID ,Feather Print New Spring Season White Shoes Men Running Flat PU Sneakers Male White Board Shoes Sports Outdoor Shoes  Sneakers For Men  (White),₹399,60% off,https://www.flipkart.com/asteroid-feather-print-new-spring-season-white-shoes-men-running-flat-pu-sneakers-male-board-sports-outdoor-shoes/p/itmde45e29aa3f71?pid=SHOFUZUJ3RDHB2AK&lid=LSTSHOFUZUJ3RDHB2AKDPF6YB&marketplace=FLIPKART&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFUZUJ3RDHB2AK.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Magnolia ,White Sneakers Sneakers For Men  (White),₹348,65% off,https://www.flipkart.com/magnolia-white-sneakers-men/p/itmf7n8d9pspsdvp?pid=SHOF7NYRUSGVHDYU&lid=LSTSHOF7NYRUSGVHDYUFU7LNU&marketplace=FLIPKART&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOF7NYRUSGVHDYU.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Axter ,"Combo Pack of 2 Latest Collection Stylish Casual Loafer Sneakers Shoes For Men Sneakers For Men  (Blue, Red, Black)",₹297,70% off,https://www.flipkart.com/axter-combo-pack-2-latest-collection-stylish-casual-loafer-sneakers-shoes-men/p/itm370f1a4b95164?pid=SHOFN3ZBNGY2Q9C2&lid=LSTSHOFN3ZBNGY2Q9C2FJARWE&marketplace=FLIPKART&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFN3ZBNGY2Q9C2.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Fzzirok ,Premium quality Sneakers For Men  (Blue),₹420,57% off,https://www.flipkart.com/fzzirok-premium-quality-sneakers-men/p/itm513fd99fa782c?pid=SHOFWX2PVCSA6TT9&lid=LSTSHOFWX2PVCSA6TT9XTRQ2G&marketplace=FLIPKART&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFWX2PVCSA6TT9.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Rockfield ,Sneakers For Men  (Black),₹379,62% off,https://www.flipkart.com/rockfield-sneakers-men/p/itmdf791eab3a1e0?pid=SHOFKPYZMVC8ABC4&lid=LSTSHOFKPYZMVC8ABC4MFOZSO&marketplace=FLIPKART&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFKPYZMVC8ABC4.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Marc Ecko ,Sneakers For Men  (Grey),"₹1,020",53% off,https://www.flipkart.com/marc-ecko-sneakers-men/p/itm1fe7af62b43b2?pid=SHOFJY3B5FHP6TJ4&lid=LSTSHOFJY3B5FHP6TJ4DLCKOP&marketplace=FLIPKART&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=en_U5%2F4Ug3GlLfobhCKAKFijlaiqc0HKMwn%2FJADbVYAKLsP7KqAE44pcn5mH2vdPeuW%2BtoX06%2FDfjop%2B7v%2BEEKGPA%3D%3D&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Sparx ,"SM-322 Sneakers For Men  (Black, Grey)",₹799,20% off,https://www.flipkart.com/sparx-sm-322-sneakers-men/p/itmf27234d02f4d7?pid=SHOFFTAEFTNJGQ5W&lid=LSTSHOFFTAEFTNJGQ5WIUS9WB&marketplace=FLIPKART&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFFTAEFTNJGQ5W.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
