Title,Ratings,price,Link To Buy
(Renewed) Dell XPS 15 - 9560 Laptop/Intel 7th Gen Ci7-7700HQ/15.6inch FHD/256GB SSD/8GB/NVIDIA GeForce GTX 1050 Graphics with 4GB GDDR5/Win 10 Home/Integrated HD camera with digital array microphone/,NA,"₹ 2,07,500.00",https://www.amazon.in/Renewed-Dell-XPS-15-Ci7-7700HQ/dp/B08NYXMXJQ/ref=sr_1_28?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-28
"(Renewed) HP Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 4 GB Ram & 128 GB SSD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",NA,"₹ 45,990.00",https://www.amazon.in/Renewed-HP-Probook-Laptop-430G3/dp/B08N59R4ZH/ref=sr_1_29?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-29
"Asus Gaming Laptop ROG Strix G17 i7-10750H(16 Gb Ram,1T SSD,17.3 FHD-144hz,GTX1660Ti-6GB,RGB Backlit-4 Zone,WIFI6,WIN10,,Black Plastic),G712LU-EV002T",4.1 out of 5,"₹ 1,30,000.00",https://www.amazon.in/i7-10750H-FHD-144hz-GTX1660Ti-6GB-Backlit-4-G712LU-EV002T/dp/B08H5QBRZ1/ref=sr_1_30?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-30
"(Renewed) HP Hybrid Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 16 GB Ram & 128 GB SSD & 2TB HDD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",NA,"₹ 59,990.00",https://www.amazon.in/Renewed-HP-Hybrid-Probook-Laptop/dp/B08NBZS3X3/ref=sr_1_31?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-31
"(Renewed) HP Hybrid Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 16 GB Ram & 256 GB SSD & 320GB HDD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",NA,"₹ 56,990.00",https://www.amazon.in/Renewed-HP-Hybrid-Probook-Laptop/dp/B08NC76YKN/ref=sr_1_32?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-32
"(Renewed) Lenovo ThinkPad Yoga12 12.5-inch Thin & Light Laptop (Core i7 5th Gen/8 GB/512 GB SSD/Windows 10/MS Office Pro 2019/Integrated Graphics/Dragontrail Glass Display), Black",NA,"₹ 48,999.00",https://www.amazon.in/Lenovo-ThinkPad-12-5-inch-Integrated-Dragontrail/dp/B08S7CMLDB/ref=sr_1_33?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-33
"(Renewed) HP Hybrid Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 8 GB Ram & 128 GB SSD & 320GB HDD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",2 out of 5,"₹ 49,990.00",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg2_1?ie=UTF8&adId=A00244622TBHZECQRD0E2&url=%2FRenewed-HP-Hybrid-Probook-Laptop%2Fdp%2FB08NBXNFG1%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1611756178%26refinements%3Dp_n_feature_thirteen_browse-bin%253A12598163031%257C16757432031%26rnid%3D12598141031%26s%3Dcomputers%26sr%3D1-34-spons%26psc%3D1&qualifier=1611756187&id=7686666206096543&widgetName=sp_mtf
"MSI GF63 Thin Core i7 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650 Max-Q) GF63 Thin 9SCXR-417IN Gaming Laptop (15.6 inch, Black, 1.86 kg)",NA,"₹ 68,990.00",https://www.amazon.in/MSI-GF63-Thin-Core-9th/dp/B08SL26BWT/ref=sr_1_35?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-35
"(Renewed) Dell Latitude E5570 15-inch FHD-Touch Screen Laptop (Core i7 6th Gen/16GB/500GB HDD/Windows 10/MS Office Pro 2019/AMD Graphics), Black",NA,"₹ 65,399.00",https://www.amazon.in/Renewed-Dell-Latitude-FHD-Touch-Graphics/dp/B08LQ21MDH/ref=sr_1_36?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-36
(Renewed) Lenovo ThinkPad High Performance 12.5 inch IPS Panel 1.53 kg Laptop (Core I7 5600U/8 GB(Upto 16GB)/256 GB SSD/Win 10 Pro/Webcam/USB 3.0/SIM/BT/M.2/TPM 2.0 VPro/Integrated Graphics),3.5 out of 5,"₹ 38,699.00",https://www.amazon.in/Lenovo-ThinkPad-Performance-Integrated-Graphics/dp/B08NPZNDCG/ref=sr_1_37?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-37
MSI GF63 9SCXR-417IN 15.6 inch Thin Laptop Core i7 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB NVIDIA Geforce GTX 1650 Graphics) Gaming Laptop,NA,"₹ 72,000.00",https://www.amazon.in/MSI-GF63-9SCXR-417IN-15-6-Laptop/dp/B086DBK74S/ref=sr_1_38?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-38
"ASUS ZenBook Pro Duo Intel Core i9-10980HK 10th Gen 15.6"" 4K UHD OLED Touchscreen Laptop (32GB RAM/1TB NVMe SSD/Windows 10/6GB NVIDIA GeForce RTX 2060 Graphics/Celestial Blue/2.5 Kg), UX581LV-H2035T",5 out of 5,"₹ 2,68,329.00",https://www.amazon.in/ASUS-i9-10980HK-Touchscreen-Celestial-UX581LV-H2035T/dp/B08CHDLVT1/ref=sr_1_39?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-39
Dell G3 3500 Gaming 15.6inch 120hz FHD Display Laptop (10th Gen i7-10750H / 8 GB / 512 SSD / GTX 1650 4GB / 1Yr Premium Warranty/ Win 10 + MS Office H&S 2019) D560250WIN9BE,3.9 out of 5,"₹ 82,990.00",https://www.amazon.in/Dell-15-6inch-i7-10750H-Warranty-D560250WIN9BE/dp/B08HYPRST4/ref=sr_1_40?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-40
"Acer Nitro 5 Intel Core i7 10750H 15.6"" FHD IPS 144Hz Display Thin and Light Gaming Laptop (8GB Ram/1TB HDD + 256 GB SSD/Windows 10 Home /GTX 1650Ti Graphics/Obisidian Black/2.3 kgs),AN515-55",4 out of 5,"₹ 79,990.00",https://www.amazon.in/Acer-Display-Graphics-Obisidian-AN515-55/dp/B08HQZN76N/ref=sr_1_41?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-41
Dynabook Tecra A40-E-Y2312 Laptops (Intel® Core™ i7 8th Gen/ 8GB/ 512GB SSD/14 FHD/Windows 10 SL/ 1.47Kg) 3 Years Warranty,5 out of 5,"₹ 88,382.00",https://www.amazon.in/Dynabook-Y2312-Laptops-Windows-Warranty/dp/B08L684SF6/ref=sr_1_42?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-42
"Asus ROG Strix G15 (2020) Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650 Ti/144 Hz) G512LI-HN057T Gaming Laptop (15.6 inch, Black Plastic, 2.30 kg)",NA,"₹ 1,02,990.00",https://www.amazon.in/Asus-Strix-Core-10th-G512LI-HN057T/dp/B08T1NLF3P/ref=sr_1_43?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-43
"Dell Inspiron 15 5501 10thGen Corei7-10657G7 8GB RAM,512GB SSD,2GB MX330 Graphics,15.6"" Windows 10 +MS Office Laptop",4 out of 5,"₹ 88,990.00",https://www.amazon.in/Dell-Inspiron-10thGen-Corei7-10657G7-Graphics/dp/B08BCRRQGP/ref=sr_1_44?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-44
"ASUS ROG Zephyrus M15 (2020), 15.6"" FHD 240Hz/3ms, Intel Core i7-10750H 10th Gen, RTX 2060 6GB Graphics, Gaming Laptop (16GB/1TB SSD/Office 2019/Windows 10/Black/1.9 Kg), GU502LV-AZ173TS",5 out of 5,"₹ 1,42,990.00",https://www.amazon.in/ASUS-Zephyrus-i7-10750H-RTX-2060-GU502LV-AZ173TS/dp/B08PFD26HJ/ref=sr_1_45?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-45
"(Renewed) HP Hybrid Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 8 GB Ram & 512 GB SSD & 320GB HDD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",NA,"₹ 53,990.00",https://www.amazon.in/Renewed-HP-Hybrid-Probook-Laptop/dp/B08NC137QT/ref=sr_1_46?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-46
"(Renewed) HP Hybrid Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 8 GB Ram & 128 GB SSD & 500GB HDD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",NA,"₹ 50,990.00",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg3_1?ie=UTF8&adId=A00230463CU4IKDIXL488&url=%2FRenewed-HP-Hybrid-Probook-Laptop%2Fdp%2FB08NCJ226Z%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1611756187%26refinements%3Dp_n_feature_thirteen_browse-bin%253A12598163031%257C16757432031%26rnid%3D12598141031%26s%3Dcomputers%26sr%3D1-49-spons%26psc%3D1&qualifier=1611756194&id=6105879805480183&widgetName=sp_atf_next
"(Renewed) HP Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 20 GB Ram & 256 GB SSD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",NA,"₹ 58,990.00",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg3_1?ie=UTF8&adId=A0020462NBPT1VP0FLLL&url=%2FRenewed-HP-Probook-Laptop-430G3%2Fdp%2FB08N58WKDB%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1611756187%26refinements%3Dp_n_feature_thirteen_browse-bin%253A12598163031%257C16757432031%26rnid%3D12598141031%26s%3Dcomputers%26sr%3D1-50-spons%26psc%3D1&qualifier=1611756194&id=6105879805480183&widgetName=sp_atf_next
"(Renewed) HP Hybrid Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 4 GB Ram & 512 GB SSD & 1TB HDD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",NA,"₹ 52,990.00",https://www.amazon.in/Renewed-HP-Hybrid-Probook-Laptop/dp/B08NC3XXVL/ref=sr_1_51?dchild=1&keywords=laptop&qid=1611756187&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-51
"(Renewed) HP Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 20 GB Ram & 512 GB SSD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",NA,"₹ 59,990.00",https://www.amazon.in/Renewed-HP-Probook-Laptop-430G3/dp/B08N57KW39/ref=sr_1_52?dchild=1&keywords=laptop&qid=1611756187&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-52
"(Renewed) HP Hybrid Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 20 GB Ram & 256 GB SSD & 320GB HDD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",NA,"₹ 59,990.00",https://www.amazon.in/Renewed-HP-Hybrid-Probook-Laptop/dp/B08NCLYVFN/ref=sr_1_53?dchild=1&keywords=laptop&qid=1611756187&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-53
"(Renewed) HP Hybrid Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 16 GB Ram & 512 GB SSD & 320GB HDD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",NA,"₹ 59,990.00",https://www.amazon.in/Renewed-HP-Hybrid-Probook-Laptop/dp/B08NCCBHRK/ref=sr_1_49?dchild=1&keywords=laptop&qid=1611756187&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-49
"(Renewed) HP Hybrid Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 16 GB Ram & 128 GB SSD & 320GB HDD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",NA,"₹ 55,990.00",https://www.amazon.in/Renewed-HP-Hybrid-Probook-Laptop/dp/B08NBZX5RN/ref=sr_1_50?dchild=1&keywords=laptop&qid=1611756187&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-50
"(Renewed) HP Hybrid Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 8 GB Ram & 256 GB SSD & 500GB HDD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",NA,"₹ 51,990.00",https://www.amazon.in/Renewed-HP-Hybrid-Probook-Laptop/dp/B08NC2NZFT/ref=sr_1_51?dchild=1&keywords=laptop&qid=1611756187&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-51
